,APOGEE_ID,KIC,RA,DEC,FE_H,A_FE,age,age_68L,age_68U,mass,mass_68L,mass_68U,dist,dist_68L,dist_68U,Av,Av_68L,Av_68U,evstate
706,2M19541241+4023379,5215820,298.55175,40.39386,-0.01652,0.0177,4.7414,3.7722,5.9547,1.2701,1.1857,1.3443,1147.2716,1130.8892,1165.4228,0.4055,0.331,0.475,1
707,2M19561324+4019377,5218333,299.05518,40.32716,0.09293,0.01039,1.5478,1.4969,1.5669,1.8307,1.8112,1.8469,2626.7026,2609.1563,2643.4066,0.9805,0.9565,1.0148,2
708,2M19564100+4020103,5218957,299.17084,40.3362,0.27703,0.01184,2.2077,2.1135,2.2647,1.6746,1.6528,1.6980000000000002,1847.9493,1836.9188,1859.8766,0.7104,0.6779999999999999,0.7348,2
709,2M19571782+4022206,5219666,299.32427,40.37239,0.4136,0.01063,2.1791,1.8408,2.8564,1.6824,1.548,1.7617,1778.1857,1747.8329999999999,1801.6141,0.6928,0.625,0.7546,1
710,2M19573585+4020004,5220010,299.39941,40.33346,-0.17686,0.04657,8.7168,7.4285,10.3489,1.0205,0.9862,1.0913,2112.241,2086.8920000000003,2139.0455,0.7490000000000001,0.705,0.804,1
711,2M18551923+4025327,5253782,283.83013,40.42577,0.01037,0.00499,3.4423,3.1261,3.7775,1.3827,1.3445,1.4254,2195.5484,2180.2185,2213.9564,0.3505,0.3132,0.3848,2
712,2M18571871+4026389,5254812,284.32798,40.44415,-0.19931,0.03562,6.6262,5.3113,8.4114,1.1248,1.0375,1.175,1042.7809,1027.5899,1057.9952,0.2777,0.2065,0.3448,1
713,2M18592005+4026190,5255835,284.83357,40.43864,-0.6271899999999999,0.26461,10.6847,8.6099,13.5991,0.9544,0.8912,1.0127,1819.9344,1792.6685,1846.7908,0.3111,0.2504,0.3848,1
714,2M19111362+4025194,5262610,287.80676,40.42207,-0.14786,0.01956,3.4527,2.7391,4.3153,1.3409,1.2705,1.4398,1679.9568,1654.8171,1704.1323,0.2318,0.1553,0.295,1
715,2M19150599+4029344,5265226,288.77499,40.49291,0.20596,0.03679,9.6313,7.5718,13.0285,1.0818,1.0028,1.1640000000000001,1973.703,1938.6526,2010.1902,0.203,0.115,0.2901,1
716,2M19150827+4029347,5265256,288.78447,40.49298,-0.047810000000000005,0.04423,8.9713,6.8391,10.8022,1.0649,1.0138,1.148,740.762,730.7185,750.7668,0.0909,0.0349,0.1549,1
717,2M19153291+4029529,5265577,288.88713,40.49806,0.006540000000000001,0.00439,3.2817,2.6002,4.1137,1.415,1.3304,1.5093,1691.9259,1665.3289,1716.7478,0.2397,0.165,0.3083,1
718,2M19163732+4024135,5266369,289.15554,40.40377,-0.31363,0.04525,6.3573,5.0699,7.8870000000000005,1.1241,1.0471,1.1851,1588.7638,1566.5704,1612.4347,0.2403,0.1758,0.3048,1
719,2M19183667+4029195,5267939,289.65282,40.48877,0.26834,0.029110000000000007,6.2532,4.8417,7.8497,1.2261,1.1640000000000001,1.3317,2000.5129,1970.1531,2030.0046,0.2336,0.1665,0.3048,1
720,2M19220409+4025158,5270933,290.51706,40.42106,0.374,0.02442,5.5247,4.8261,5.9551,1.263,1.2302,1.3135,1510.7,1500.9283,1522.2452,0.3926,0.375,0.4223,2
721,2M19353565+4025596,5282288,293.8985600000001,40.43322,0.01132,0.00885,1.8006,1.7179,1.8751,1.7180000000000002,1.6903,1.7472,1269.7967,1260.3754,1279.8201,0.1791,0.145,0.2205,2
722,2M19361046+4026174,5282875,294.04359,40.43819000000001,-0.11284,-0.01967,2.1861,1.9779,2.3708,1.5706,1.5416,1.6432,1115.8424,1107.8985,1125.6086,0.1319,0.095,0.18600000000000003,2
723,2M19370940+4025206,5283798,294.28917,40.42239,0.17958,-0.02266,1.6244,1.5904,1.6782,1.8241,1.8029,1.849,1536.0838,1525.8081,1547.1678,0.353,0.315,0.3856,2
724,2M19372008+4029580,5283958,294.33369,40.49947,-0.01294,-0.01585,1.5823,1.5209,1.64,1.7825,1.7457,1.8115,1572.6779999999999,1558.7987,1586.6594,0.2407,0.2016,0.2849,2
725,2M19382400+4026574,5284948,294.60004,40.44929000000001,-0.10097,0.01057,5.2212,4.215,6.6841,1.2327,1.1323,1.2808,1187.1188,1168.369,1203.6585,0.2734,0.2015,0.345,1
726,2M19385840+4029213,5285490,294.74335,40.48927,-0.06412999999999999,0.01737,2.1027,1.7579,2.7142,1.5833,1.4827,1.6747,2089.3387,2057.7845,2120.7508,0.4311,0.3628,0.5049,1
