,APOGEE_ID,KIC,RA,DEC,FE_H,A_FE,age,age_68L,age_68U,mass,mass_68L,mass_68U,dist,dist_68L,dist_68U,Av,Av_68L,Av_68U,evstate
75,2M19262385+3732227,2160901,291.59938999999997,37.53966,0.24061999999999997,0.01524,4.5394,3.4818,5.6866,1.3469,1.2588,1.4433,1338.3707,1319.7753,1359.2402,0.3786,0.305,0.4459,1
76,2M19264805+3733467,2161409,291.70021,37.56299,0.09673999999999999,-0.0016899999999999999,3.8948,3.1261,4.96,1.3561,1.2788,1.4519,1628.7254,1611.9441,1646.1969,0.8782,0.815,0.9387,1
77,2M19270967+3731187,2161831,291.79033,37.52186,-0.27142,0.07914,8.0229,6.3826,10.0641,1.0439,0.9862,1.1167,1341.029,1319.988,1359.8343,0.5219,0.4459,0.5849,1
78,2M19291444+3732279,2164262,292.31017,37.5411,0.14687,0.00542,5.4342,4.3491,6.9967,1.2474,1.1748,1.3388,1647.6276,1619.9437,1673.5215,0.4407,0.3604,0.5149,1
79,2M19291858+3735195,2164327,292.32742,37.58878,0.10267000000000001,-0.0235,2.4603,2.3174,2.646,1.5661,1.5283,1.5994,1101.699,1095.2167,1110.3779,0.1969,0.165,0.2292,2
80,2M19292074+3734149,2164379,292.33644,37.570809999999994,0.41786999999999996,0.042,7.1121,5.6885,8.9207,1.1912,1.1082,1.2392,1577.8023,1557.7578,1602.2801,0.507,0.435,0.5626,1
81,2M19300234+3735387,2165198,292.50979,37.59409,0.1667,-0.00885,3.3641,2.7196,4.3141,1.4523,1.3489,1.5337,1336.7658,1316.7398,1356.7782,0.3194,0.255,0.3976,1
82,2M19302512+3730446,2165615,292.60467,37.512409999999996,-0.68581,0.25621,1.9891,1.7579,2.408,1.5701,1.4729,1.6441,3294.6428,3262.1192,3324.6379,0.3615,0.3207,0.4149,2
83,2M19305748+3731444,2166223,292.73952,37.52902,0.11772,0.0003,4.8179,3.8459,6.1086,1.2943,1.1978,1.3613,1978.0401,1947.6013,2008.7455,0.3808,0.3068,0.455,1
84,2M19040604+3739523,2283093,286.02519,37.66453,0.14517,0.012629999999999999,1.5886,0.912,7.3259,1.8581,1.0519,2.1432,2350.1927,2041.5032,2474.5114,-0.0382,-0.345,0.3215,0
85,2M19045380+3741230,2283721,286.22418999999996,37.68973,-0.1916,0.11233,9.4182,7.4989,12.0439,1.0143,0.9593,1.0891,1675.761,1650.0607,1701.1031,0.2961,0.205,0.355,1
86,2M19053984+3737500,2284330,286.41602,37.630559999999996,-0.18558,0.026760000000000003,6.9363,5.3088,8.5119,1.0449,0.9905,1.148,2056.3932,2025.3499,2098.5441,0.3156,0.2388,0.3849,2
87,2M19060736+3740100,2284679,286.5307,37.66945,-0.448,0.20509000000000002,11.2142,9.0157,14.0133,0.9394,0.8897,1.0045,588.3684,580.0962,596.857,0.0741,0.0018,0.1349,1
88,2M19074000+3740453,2285827,286.91668,37.67928,0.27518000000000004,0.026910000000000003,6.9831,5.4325,8.43,1.1983,1.1199,1.2646,1182.2078,1165.4668,1200.8284,0.2827,0.215,0.3551,1
89,2M19210286+3737297,2297785,290.26193,37.62492,-0.16646,0.04747,1.0878,0.8833,1.333,2.1421,1.9318,2.2725,1816.7241,1783.3224,1851.3465,0.3788,0.295,0.4762,2
90,2M19210483+3741036,2297825,290.27013999999997,37.68435,0.43111000000000005,0.05127,9.1977,8.414,10.6418,1.0687,1.0175,1.0963,4166.5219,4125.7212,4202.2542,0.5609,0.5343,0.5948,2
91,2M19232489+3738534,2300329,290.85371000000004,37.64819,0.12462999999999999,0.0121,13.0247,8.9929,18.8316,0.9686,0.8819,1.0862,3022.7696,2943.2015,3108.0616,0.2654,0.1323,0.3751,1
92,2M19233375+3740096,2300503,290.89065,37.669340000000005,-0.12872999999999998,0.0388,7.3162,5.6885,9.565,1.0954,1.0232,1.1826,977.0578,958.7161,994.2353,0.302,0.2177,0.385,1
93,2M19242206+3738241,2301349,291.09195,37.64004,0.38891,-0.006790000000000001,7.8506,5.9745,9.6568,1.1537,1.0964,1.2525,2094.3677,2066.8073,2125.6986,0.4402,0.3849,0.5149,1
94,2M19255446+3740212,2303101,291.47692,37.67256,0.24383000000000002,0.04598,11.8848,9.4537,14.9632,1.0103,0.9593,1.0903,1261.6342,1243.0825,1281.7805,0.2989,0.2176,0.3648,1
95,2M19255892+3736237,2303200,291.4955,37.606590000000004,-0.024390000000000002,0.0013,7.7065,6.5313,11.1701,1.0581,1.0045,1.1587,1917.913,1877.7591,1952.0079,0.3596,0.2251,0.4149,1
96,2M19260880+3740242,2303367,291.5367,37.673390000000005,0.16992000000000002,0.01518,7.4383,6.3826,9.1499,1.094,1.0471,1.1625,749.2213,740.747,757.6848,0.2079,0.147,0.245,2
97,2M19261131+3738171,2303414,291.54714,37.638090000000005,0.03297,-0.01883,4.977,4.0133,6.3805,1.2534,1.1802,1.3411,2282.0532,2246.4665,2317.3659,0.3524,0.2754,0.425,1
98,2M19264511+3737317,2304104,291.68799,37.62549,0.36662,0.00852,5.6489,4.8854,6.8362,1.253,1.1735,1.306,2015.8598,1998.803,2030.0358,0.4889,0.455,0.511,2
99,2M19272308+3741582,2304765,291.84619,37.69951,0.30835999999999997,-0.0022199999999999998,2.8953,1.6742,5.0701,1.598,1.2941,1.7982,3230.7126,3100.9867,3365.8226,0.3184,0.135,0.4991,1
100,2M19275908+3741282,2305407,291.99617,37.691179999999996,-0.09542,-0.02299,1.9961,1.6773,2.5398,1.5746,1.4858,1.6704,1227.0602,1209.2049,1243.2556,0.3488,0.275,0.4079,1
101,2M19280288+3741507,2305479,292.01202,37.69742,0.29368,0.00265,8.0394,6.4699,10.1162,1.1546,1.0801,1.2245,1403.8193,1381.974,1423.914,0.4084,0.325,0.4666,1
102,2M19280882+3736381,2305590,292.03679,37.6106,-0.29561,0.23539000000000002,10.2088,8.2604,12.4406,1.0264,0.9543,1.0714,1071.7846,1058.6198,1085.1445,0.3414,0.2793,0.3849,1
103,2M19282563+3741232,2305930,292.10681,37.6898,-0.43483999999999995,0.16542,18.5939,11.8386,23.7045,0.8223,0.7691,0.9126,975.932,956.0928,997.6089,0.4212,0.355,0.4896,2
104,2M19282828+3741077,2305987,292.11787000000004,37.68549,0.13701,0.061779999999999995,8.9151,7.5718,10.1129,1.0911,1.0567,1.1523,2016.8127,1997.5604,2038.3738,0.4885,0.4365,0.5248,1
105,2M19282855+3739572,2305992,292.11899,37.66591,0.08098999999999999,0.01917,5.4272,4.3551,6.8396,1.2361,1.1639,1.3182,1046.6804,1031.2882,1062.8718,0.3459,0.2609,0.405,1
106,2M19285254+3738311,2306481,292.21892,37.64199,-0.24515,0.06337999999999999,4.7065,4.2111,5.5567,1.2042,1.1481,1.2567,2350.8328,2330.7727,2371.8445,0.4247,0.385,0.4627,2
107,2M19295606+3740555,2307683,292.48362000000003,37.6821,-0.15574000000000002,0.014280000000000001,4.3182,3.6551,5.0701,1.2781,1.2133,1.3441,1348.9389,1333.6438,1363.0325,0.3038,0.265,0.352,1
108,2M19312880+3738391,2309469,292.87,37.644220000000004,0.18745,0.0158,8.6691,6.8391,10.6438,1.0643,1.0023,1.1374,1412.795,1392.4511,1433.7944,0.4192,0.3526,0.4748,2
109,2M19313386+3740119,2309550,292.89108999999996,37.669990000000006,-0.0070599999999999994,-0.03032,1.8311,1.747,1.927,1.6939,1.6681,1.7217,559.8633,555.4053,564.2712,0.0773,0.045,0.1207,2
110,2M19033301+3743183,2422073,285.88757000000004,37.721759999999996,0.09291,0.00953,10.1615,8.2224,13.1326,1.0416,0.9711,1.1066,1151.2803,1132.4787,1168.1689,0.2361,0.1457,0.2949,1
111,2M19041265+3743311,2422558,286.05274,37.72532,0.31724,0.02913,4.8699,3.9355,6.1811,1.3129,1.2428,1.4058,1575.4536,1553.1378,1597.7231,0.3784,0.325,0.4597,1
